tech_id,tech_name,text,section
T1619,Cloud Storage Object Discovery,Peirates  can list AWS S3 buckets.   [3],Procedure Examples
T1137.004,Office Application Startup: Outlook Home Page,"Adversaries may abuse Microsoft Outlook's Home Page feature to obtain persistence on a compromised system. Outlook Home Page is a legacy feature used to customize the presentation of Outlook folders. This feature allows for an internal or external URL to be loaded and presented whenever a folder is opened. A malicious HTML page can be crafted that will execute code when loaded by Outlook Home Page.   [1]      Once malicious home pages have been added to the user’s mailbox, they will be loaded when Outlook is started. Malicious Home Pages will execute when the right Outlook folder is loaded/reloaded.   [1]",Description
T1137.004,Office Application Startup: Outlook Home Page,OilRig  has abused the Outlook Home Page feature for persistence.  OilRig  has also used CVE-2017-11774 to roll back the initial patch designed to protect against Home Page abuse.   [2],Procedure Examples
T1137.004,Office Application Startup: Outlook Home Page,Ruler  can be used to automate the abuse of Outlook Home Pages to establish persistence.   [3],Procedure Examples
T1528,Steal Application Access Token,"Adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources.   Application access tokens are used to make authorized API requests on behalf of a user or service and are commonly used as a way to access resources in cloud and container-based applications and software-as-a-service (SaaS).   [1]    OAuth is one commonly implemented framework that issues tokens to users for access to systems. Adversaries who steal account API tokens in cloud and containerized environments may be able to access data and perform actions with the permissions of these accounts, which can lead to privilege escalation and further compromise of the environment.   In Kubernetes environments, processes running inside a container communicate with the Kubernetes API server using service account tokens. If a container is compromised, an attacker may be able to steal the container’s token and thereby gain access to Kubernetes API commands.   [2]      Token theft can also occur through social engineering, in which case user action may be required to grant access. An application desiring access to cloud-based services or protected APIs can gain entry using OAuth 2.0 through a variety of authorization protocols. An example commonly-used sequence is Microsoft's Authorization Code Grant flow.   [3]      [4]    An OAuth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials.    Adversaries can leverage OAuth authorization by constructing a malicious application designed to be granted access to resources with the target user's OAuth token.   [5]      [6]    The adversary will need to complete registration of their application with the authorization server, for example Microsoft Identity Platform using Azure Portal, the Visual Studio IDE, the command-line interface, PowerShell, or REST API calls.   [7]    Then, they can send a  Spearphishing Link  to the target user to entice them to grant access to the application. Once the OAuth access token is granted, the application can gain potentially long-term access to features of the user account through  Application Access Token .   [8]      Application access tokens may function within a limited lifetime, limiting how long an adversary can utilize the stolen token. However, in some cases, adversaries can also steal application refresh tokens   [9]   , allowing them to obtain new access tokens without prompting the user.",Description
T1528,Steal Application Access Token,AADInternals  can steal users’ access tokens via phishing emails containing malicious links.   [10],Procedure Examples
T1528,Steal Application Access Token,"APT28  has used several malicious applications to steal user OAuth access tokens including applications masquerading as ""Google Defender"" ""Google Email Protection,"" and ""Google Scanner"" for Gmail users. They also targeted Yahoo users with applications masquerading as ""Delivery Service"" and ""McAfee Email Protection"".   [6]",Procedure Examples
T1528,Steal Application Access Token,Peirates  gathers Kubernetes service account tokens using a variety of techniques.   [11],Procedure Examples
T1505.003,Server Software Component: Web Shell,"Adversaries may backdoor web servers with web shells to establish persistent access to systems. A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to use the Web server as a gateway into a network. A Web shell may provide a set of functions to execute or a command-line interface on the system that hosts the Web server.   [1]      In addition to a server-side script, a Web shell may have a client interface program that is used to talk to the Web server (e.g.  China Chopper  Web shell client).   [2]",Description
T1505.003,Server Software Component: Web Shell,APT28  has used a modified and obfuscated version of the reGeorg web shell to maintain persistence on a target's Outlook Web Access (OWA) server.   [3],Procedure Examples
T1505.003,Server Software Component: Web Shell,APT29  has installed web shells on exploited Microsoft Exchange servers.   [4],Procedure Examples
T1505.003,Server Software Component: Web Shell,APT32  has used Web shells to maintain access to victim websites.   [5],Procedure Examples
T1505.003,Server Software Component: Web Shell,APT38  has used web shells for persistence or to ensure redundant access.   [6],Procedure Examples
T1505.003,Server Software Component: Web Shell,APT39  has installed ANTAK and ASPXSPY web shells.   [7],Procedure Examples
T1505.003,Server Software Component: Web Shell,ASPXSpy  is a Web shell. The ASPXTool version used by  Threat Group-3390  has been deployed to accessible servers running Internet Information Services (IIS).   [8],Procedure Examples
T1505.003,Server Software Component: Web Shell,BackdoorDiplomacy  has used web shells to establish an initial foothold and for lateral movement within a victim's system.   [9],Procedure Examples
T1505.003,Server Software Component: Web Shell,China Chopper 's server component is a Web Shell payload.   [2],Procedure Examples
T1505.003,Server Software Component: Web Shell,Deep Panda  uses Web shells on publicly accessible Web servers to access victim networks.   [10],Procedure Examples
T1505.003,Server Software Component: Web Shell,"Dragonfly  has commonly created Web shells on victims' publicly accessible email and web servers, which they used to maintain access to a victim network and download additional malicious files.   [11]",Procedure Examples
T1505.003,Server Software Component: Web Shell,Fox Kitten  has installed web shells on compromised hosts to maintain access.   [12]      [13],Procedure Examples
T1505.003,Server Software Component: Web Shell,GALLIUM  used Web shells to persist in victim environments and assist in execution and exfiltration.   [14]      [15],Procedure Examples
T1505.003,Server Software Component: Web Shell,"HAFNIUM  has deployed multiple web shells on compromised servers including SIMPLESEESHARP, SPORTSBALL,  China Chopper , and  ASPXSpy .   [16]      [17]      [18]      [19]",Procedure Examples
T1505.003,Server Software Component: Web Shell,"Kimsuky  has used modified versions of open source PHP web shells to maintain access, often adding ""Dinosaur"" references within the code.   [20]",Procedure Examples
T1505.003,Server Software Component: Web Shell,Leviathan  relies on web shells for an initial foothold as well as persistence into the victim's systems.   [21]      [22],Procedure Examples
T1505.003,Server Software Component: Web Shell,Magic Hound  has used multiple web shells to gain execution.   [23],Procedure Examples
T1505.003,Server Software Component: Web Shell,Moses Staff  has dropped a web shell onto a compromised system.   [24],Procedure Examples
T1505.003,Server Software Component: Web Shell,"OilRig  has used web shells, often to maintain access to a victim network.   [25]      [26]      [27]",Procedure Examples
T1505.003,Server Software Component: Web Shell,"During  Operation CuckooBees , the threat actors generated a web shell within a vulnerable Enterprise Resource Planning Web Application Server as a persistence mechanism.   [28]",Procedure Examples
T1505.003,Server Software Component: Web Shell,"During  Operation Wocao , threat actors used their own web shells, as well as those previously placed on target systems by other threat actors, for reconnaissance and lateral movement.   [29]",Procedure Examples
T1505.003,Server Software Component: Web Shell,OwaAuth  is a Web shell that appears to be exclusively used by  Threat Group-3390 . It is installed as an ISAPI filter on Exchange servers and shares characteristics with the  China Chopper  Web shell.   [8],Procedure Examples
T1505.003,Server Software Component: Web Shell,P.A.S. Webshell  can gain remote access and execution on target web servers.   [30],Procedure Examples
T1505.003,Server Software Component: Web Shell,Sandworm Team  has used webshells including  P.A.S. Webshell  to maintain access to victim networks.   [30],Procedure Examples
T1505.003,Server Software Component: Web Shell,SEASHARPEE  is a Web shell.   [26],Procedure Examples
T1505.003,Server Software Component: Web Shell,SUPERNOVA  is a Web shell.   [31]      [32]      [33],Procedure Examples
T1505.003,Server Software Component: Web Shell,TEMP.Veles  has planted Web shells on Outlook Exchange servers.   [34],Procedure Examples
T1505.003,Server Software Component: Web Shell,Threat Group-3390  has used a variety of Web shells.   [35],Procedure Examples
T1505.003,Server Software Component: Web Shell,Tonto Team  has used a first stage web shell after compromising a vulnerable Exchange server.   [36],Procedure Examples
T1505.003,Server Software Component: Web Shell,"Tropic Trooper  has started a web service in the target host and wait for the adversary to connect, acting as a web shell.   [37]",Procedure Examples
T1505.003,Server Software Component: Web Shell,Volatile Cedar  can inject web shell code into a server.   [38]      [39],Procedure Examples
T1547.010,Boot or Logon Autostart Execution: Port Monitors,"Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation. A port monitor can be set through the  AddMonitor  API call to set a DLL to be loaded at startup.   [1]    This DLL can be located in  C:\Windows\System32  and will be loaded by the print spooler service, spoolsv.exe, on boot. The spoolsv.exe process also runs under SYSTEM level permissions.   [2]    Alternatively, an arbitrary DLL can be loaded if permissions allow writing a fully-qualified pathname for that DLL to  HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors .    The Registry key contains entries for the following:   Adversaries can use this technique to load malicious code at startup that will persist on system reboot and execute as SYSTEM.",Description
T1021.001,Remote Services: Remote Desktop Protocol,Adversaries may use  Valid Accounts  to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.   Remote desktop is a common feature in operating systems. It allows a user to log into an interactive session with a system desktop graphical user interface on a remote system. Microsoft refers to its implementation of the Remote Desktop Protocol (RDP) as Remote Desktop Services (RDS).   [1]       Adversaries may connect to a remote system over RDP/RDS to expand access if the service is enabled and allows access to accounts with known credentials. Adversaries will likely use Credential Access techniques to acquire credentials to use with RDP. Adversaries may also use RDP in conjunction with the  Accessibility Features  or  Terminal Services DLL  for Persistence.   [2],Description
T1021.001,Remote Services: Remote Desktop Protocol,The  APT1  group is known to have used RDP during operations.   [3],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,APT29  has used RDP sessions from public-facing systems to internal servers.   [4],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,APT3  enables the Remote Desktop Protocol for persistence.   [5]     APT3  has also interacted with compromised systems to browse and copy files through RDP sessions.   [6],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,"APT39  has been seen using RDP for lateral movement and persistence, in some cases employing the rdpwinst tool for mangement of multiple sessions.   [7]      [8]",Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,APT41  used RDP for lateral movement.   [9]      [10],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Axiom  has used RDP during operations.   [11],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Blue Mockingbird  has used Remote Desktop to log on to servers interactively and manually copy files to remote hosts.   [12],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,"During  C0015 , the threat actors used RDP to access specific network hosts of interest.   [13]",Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Carbanak  enables concurrent Remote Desktop Protocol (RDP) sessions.   [14],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Chimera  has used RDP to access targeted systems.   [15],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Cobalt Group  has used Remote Desktop Protocol to conduct lateral movement.   [16],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Cobalt Strike  can start a VNC-based remote desktop server and tunnel the connection through the already established C2 channel.   [17]      [18],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,DarkComet  can open an active screen of the victim’s machine and take control of the mouse and keyboard.   [19],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Dragonfly  has moved laterally via RDP.   [20],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,FIN10  has used RDP to move laterally to systems in the victim environment.   [21],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,FIN6  used RDP to move laterally in victim networks.   [22]      [23],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,FIN7  has used RDP to move laterally in victim environments.   [24],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,FIN8  has used RDP for lateral movement.   [25],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Fox Kitten  has used RDP to log in and move laterally in the target environment.   [26]      [27],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,HEXANE  has used remote desktop sessions for lateral movement.   [28],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Imminent Monitor  has a module for performing remote desktop access.   [29],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,jRAT  can support RDP control.   [30],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Kimsuky  has used RDP for direct remote point-and-click access.   [31],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Koadic  can enable remote desktop on the victim's machine.   [32],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Lazarus Group  malware SierraCharlie uses RDP for propagation.   [33]      [34],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Leviathan  has targeted RDP credentials and used it to move through the victim environment.   [35],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Magic Hound  has used Remote Desktop Services on targeted systems.   [36],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,menuPass  has used RDP connections to move across the victim network.   [37]      [38],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,njRAT  has a module for performing remote desktop access.   [39],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,OilRig  has used Remote Desktop Protocol for lateral movement. The group has also used tunneling tools to tunnel RDP into the environment.   [40]      [41]      [10],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Patchwork  attempted to use RDP to move laterally.   [42],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Pupy  can enable/disable RDP connection and can start a remote desktop session using a browser web socket client.   [43],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Pysa  has laterally moved using RDP connections.   [44],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,QuasarRAT  has a module for performing remote desktop access.   [45]      [46],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Revenge RAT  has a plugin to perform RDP access.   [47],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,SDBbot  has the ability to use RDP to connect to victim's machines.   [48],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,ServHelper  has commands for adding a remote desktop user and sending RDP traffic to the attacker through a reverse SSH tunnel.   [49],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Silence  has used RDP for lateral movement.   [50],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,TEMP.Veles  utilized RDP throughout an operation.   [51],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,WarzoneRAT  has the ability to control an infected PC using RDP.   [52],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,Wizard Spider  has used RDP for lateral movement.   [53]      [54]      [55],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,zwShell  has used RDP for lateral movement.   [56],Procedure Examples
T1021.001,Remote Services: Remote Desktop Protocol,ZxShell  has remote desktop functionality.   [57],Procedure Examples
T1569.001,System Services: Launchctl,"Adversaries may abuse launchctl to execute commands or programs. Launchctl interfaces with launchd, the service management framework for macOS. Launchctl supports taking subcommands on the command-line, interactively, or even redirected from standard input.   [1]      Adversaries use launchctl to execute commands and programs as  Launch Agent s or  Launch Daemon s. Common subcommands include:  launchctl load , launchctl unload , and  launchctl start . Adversaries can use scripts or manually run the commands  launchctl load -w ""%s/Library/LaunchAgents/%s""  or  /bin/launchctl load  to execute  Launch Agent s or  Launch Daemon s.   [2]      [3]",Description
T1569.001,System Services: Launchctl,AppleJeus  has loaded a plist file using the  launchctl  command.   [4],Procedure Examples
T1569.001,System Services: Launchctl,Calisto  uses launchctl to enable screen sharing on the victim’s machine.   [5],Procedure Examples
T1569.001,System Services: Launchctl,LoudMiner  launched the QEMU services in the  /Library/LaunchDaemons/  folder using  launchctl . It also uses  launchctl  to unload all  Launch Daemon s when updating to a newer version of  LoudMiner .   [6],Procedure Examples
T1569.001,System Services: Launchctl,macOS.OSAMiner  has used  launchctl  to restart the  Launch Agent .   [7],Procedure Examples
T1569.001,System Services: Launchctl,XCSSET  loads a system level launchdaemon using the  launchctl load -w  command from  /System/Librarby/LaunchDaemons/ssh.plist .   [8],Procedure Examples
T1595,Active Scanning,"Adversaries may execute active reconnaissance scans to gather information that can be used during targeting. Active scans are those where the adversary probes victim infrastructure via network traffic, as opposed to other forms of reconnaissance that do not involve direct interaction.   Adversaries may perform different forms of active scanning depending on what information they seek to gather. These scans can also be performed in various ways, including using native features of network protocols such as ICMP.   [1]      [2]    Information from these scans may reveal opportunities for other forms of reconnaissance (ex:  Search Open Websites/Domains  or  Search Open Technical Databases ), establishing operational resources (ex:  Develop Capabilities  or  Obtain Capabilities ), and/or initial access (ex:  External Remote Services  or  Exploit Public-Facing Application ).",Description
T1484.001,Domain Policy Modification: Group Policy Modification,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. Group policy allows for centralized management of user and computer settings in Active Directory (AD). GPOs are containers for group policy settings made up of files stored within a predicable network path  \&lt;DOMAIN&gt;\SYSVOL\&lt;DOMAIN&gt;\Policies\ .   [1]      [2]       Like other objects in AD, GPOs have access controls associated with them. By default all user accounts in the domain have permission to read GPOs. It is possible to delegate GPO access control permissions, e.g. write access, to specific users or groups in the domain.   Malicious GPO modifications can be used to implement many other malicious behaviors such as  Scheduled Task/Job ,  Disable or Modify Tools ,  Ingress Tool Transfer ,  Create Account ,  Service Execution ,  and more.   [2]      [3]      [4]      [5]      [6]    Since GPOs can control so many user and machine settings in the AD environment, there are a great number of potential attacks that can stem from this GPO abuse.   [3]      For example, publicly available scripts such as  New-GPOImmediateTask  can be leveraged to automate the creation of a malicious  Scheduled Task/Job  by modifying GPO settings, in this case modifying  &lt;GPO_PATH&gt;\Machine\Preferences\ScheduledTasks\ScheduledTasks.xml .   [3]      [4]    In some cases an adversary might modify specific user rights like SeEnableDelegationPrivilege, set in  &lt;GPO_PATH&gt;\MACHINE\Microsoft\Windows NT\SecEdit\GptTmpl.inf , to achieve a subtle AD backdoor with complete control of the domain because the user account under the adversary's control would then be able to modify GPOs.   [7]",Description
T1484.001,Domain Policy Modification: Group Policy Modification,Egregor  can modify the GPO to evade detection.   [8]       [9],Procedure Examples
T1484.001,Domain Policy Modification: Group Policy Modification,Empire  can use  New-GPOImmediateTask  to modify a GPO that will install and execute a malicious  Scheduled Task/Job .   [10],Procedure Examples
T1484.001,Domain Policy Modification: Group Policy Modification,HermeticWiper  has the ability to deploy through an infected system's default domain policy.   [11],Procedure Examples
T1484.001,Domain Policy Modification: Group Policy Modification,Indrik Spider  has used Group Policy Objects to deploy batch scripts.   [12],Procedure Examples
T1484.001,Domain Policy Modification: Group Policy Modification,Meteor  can use group policy to push a scheduled task from the AD to all network machines.   [13],Procedure Examples
T1606.001,Forge Web Credentials: Web Cookies,"Adversaries may forge web cookies that can be used to gain access to web applications or Internet services. Web applications and services (hosted in cloud SaaS environments or on-premise servers) often use session cookies to authenticate and authorize user access.   Adversaries may generate these cookies in order to gain access to web resources. This differs from  Steal Web Session Cookie  and other similar behaviors in that the cookies are new and forged by the adversary, rather than stolen or intercepted from legitimate users. Most common web applications have standardized and documented cookie values that can be generated using provided tools or interfaces.   [1]    The generation of web cookies often requires secret values, such as passwords,  Private Keys , or other cryptographic seed values.   Once forged, adversaries may use these web cookies to access resources ( Web Session Cookie ), which may bypass multi-factor and other authentication protection mechanisms.   [2]      [1]      [3]",Description
T1606.001,Forge Web Credentials: Web Cookies,APT29  has bypassed MFA set on OWA accounts by generating a cookie value from a previously stolen secret key.   [2],Procedure Examples
T1210,Exploitation of Remote Services,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.   An adversary may need to determine if the remote system is in a vulnerable state, which may be done through  Network Service Discovery  or other Discovery methods looking for common, vulnerable software that may be deployed in the network, the lack of certain patches that may indicate vulnerabilities,  or security software that may be used to detect or contain remote exploitation. Servers are likely a high value target for lateral movement exploitation, but endpoint systems may also be at risk if they provide an advantage or access to additional resources.   There are several well-known vulnerabilities that exist in common services such as SMB    [1]    and RDP    [2]    as well as applications that may be used within internal networks such as MySQL    [3]    and web server services.   [4]      Depending on the permissions level of the vulnerable remote service an adversary may achieve  Exploitation for Privilege Escalation  as a result of lateral movement exploitation as well.",Description
T1210,Exploitation of Remote Services,APT28  exploited a Windows SMB Remote Code Execution Vulnerability to conduct lateral movement.   [5]      [6]      [7],Procedure Examples
T1210,Exploitation of Remote Services,Bad Rabbit  used the EternalRomance SMB exploit to spread through victim networks.   [8],Procedure Examples
T1210,Exploitation of Remote Services,Conficker  exploited the MS08-067 Windows vulnerability for remote code execution through a crafted RPC request.   [9],Procedure Examples
T1210,Exploitation of Remote Services,Dragonfly  has exploited a Windows Netlogon vulnerability (CVE-2020-1472) to obtain access to Windows Active Directory servers.   [10],Procedure Examples
T1210,Exploitation of Remote Services,Earth Lusca  has used  Mimikatz  to exploit a domain controller via the ZeroLogon exploit (CVE-2020-1472).   [11],Procedure Examples
T1210,Exploitation of Remote Services,Emotet  has been seen exploiting SMB via a vulnerability exploit like EternalBlue (MS17-010) to achieve lateral movement and propagation.    [12]      [13]      [14]      [15],Procedure Examples
T1210,Exploitation of Remote Services,"Empire  has a limited number of built-in modules for exploiting remote SMB, JBoss, and Jenkins servers.   [16]",Procedure Examples
T1210,Exploitation of Remote Services,FIN7  has exploited ZeroLogon (CVE-2020-1472) against vulnerable domain controllers.   [17],Procedure Examples
T1210,Exploitation of Remote Services,Flame  can use MS10-061 to exploit a print spooler vulnerability in a remote system with a shared printer in order to move laterally.   [18]      [19],Procedure Examples
T1210,Exploitation of Remote Services,Fox Kitten  has exploited known vulnerabilities in remote services including RDP.   [20]      [21]      [22],Procedure Examples
T1210,Exploitation of Remote Services,InvisiMole  can spread within a network via the BlueKeep (CVE-2019-0708) and EternalBlue (CVE-2017-0144) vulnerabilities in RDP and SMB respectively.   [23],Procedure Examples
T1210,Exploitation of Remote Services,Lucifer  can exploit multiple vulnerabilities including EternalBlue (CVE-2017-0144) and EternalRomance (CVE-2017-0144).   [24],Procedure Examples
T1210,Exploitation of Remote Services,menuPass  has used tools to exploit the ZeroLogon vulnerability (CVE-2020-1472).   [25],Procedure Examples
T1210,Exploitation of Remote Services,MuddyWater  has exploited the Microsoft Netlogon vulnerability (CVE-2020-1472).   [26],Procedure Examples
T1210,Exploitation of Remote Services,"NotPetya  can use two exploits in SMBv1, EternalBlue and EternalRomance, to spread itself to other remote systems on the network.   [27]      [28]      [29]",Procedure Examples
T1210,Exploitation of Remote Services,PoshC2  contains a module for exploiting SMB via EternalBlue.   [30],Procedure Examples
T1210,Exploitation of Remote Services,QakBot  can move laterally using worm-like functionality through exploitation of SMB.   [31],Procedure Examples
T1210,Exploitation of Remote Services,Stuxnet  propagates using the MS10-061 Print Spooler and MS08-067 Windows Server Service vulnerabilities.   [32],Procedure Examples
T1210,Exploitation of Remote Services,Threat Group-3390  has exploited MS17-010 to move laterally to other systems on the network.   [33],Procedure Examples
T1210,Exploitation of Remote Services,Tonto Team  has used EternalBlue exploits for lateral movement.   [34],Procedure Examples
T1210,Exploitation of Remote Services,"TrickBot  utilizes EternalBlue and EternalRomance exploits for lateral movement in the modules wormwinDll, wormDll, mwormDll, nwormDll, tabDll.   [35]",Procedure Examples
T1210,Exploitation of Remote Services,WannaCry  uses an exploit in SMBv1 to spread itself to other remote systems on a network.   [36]      [37]      [38],Procedure Examples
T1210,Exploitation of Remote Services,Wizard Spider  has exploited or attempted to exploit Zerologon (CVE-2020-1472) and EternalBlue (MS17-010) vulnerabilities.   [39]      [40]      [41],Procedure Examples
T1578.002,Modify Cloud Compute Infrastructure: Create Cloud Instance,"An adversary may create a new instance or virtual machine (VM) within the compute service of a cloud account to evade defenses. Creating a new instance may allow an adversary to bypass firewall rules and permissions that exist on instances currently residing within an account. An adversary may  Create Snapshot  of one or more volumes in an account, create a new instance, mount the snapshots, and then apply a less restrictive security policy to collect  Data from Local System  or for  Remote Data Staging .   [1]      Creating a new instance may also allow an adversary to carry out malicious activity within an environment without affecting the execution of current running instances.",Description
T1578.002,Modify Cloud Compute Infrastructure: Create Cloud Instance,LAPSUS$  has created new virtual machines within the target's cloud environment after leveraging credential access to cloud assets.   [2],Procedure Examples
T1574.008,Hijack Execution Flow: Path Interception by Search Order Hijacking,"Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program.   Search order hijacking occurs when an adversary abuses the order in which Windows searches for programs that are not given a path. Unlike  DLL Search Order Hijacking , the search order differs depending on the method that is used to execute the program.    [1]       [2]       [3]    However, it is common for Windows to search in the directory of the initiating program before searching through the Windows system directory. An adversary who finds a program vulnerable to search order hijacking (i.e., a program that does not specify the path to an executable) may take advantage of this vulnerability by creating a program named after the improperly specified program and placing it within the initiating program's directory.   For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument  net user . An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net. In addition, if an adversary places a program called ""net.com"" in the same directory as ""net.exe"", then  cmd.exe /C net user  will execute ""net.com"" instead of ""net.exe"" due to the order of executable extensions defined under PATHEXT.    [4]      Search order hijacking is also a common practice for hijacking DLL loads and is covered in  DLL Search Order Hijacking .",Description
T1574.008,Hijack Execution Flow: Path Interception by Search Order Hijacking,Empire  contains modules that can discover and exploit search order hijacking vulnerabilities.   [5],Procedure Examples
T1574.008,Hijack Execution Flow: Path Interception by Search Order Hijacking,PowerSploit  contains a collection of Privesc-PowerUp modules that can discover and exploit search order hijacking vulnerabilities.   [6]      [7],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,"Adversaries may attempt to find local system groups and permission settings. The knowledge of local system permission groups can help adversaries determine which groups exist and which users belong to a particular group. Adversaries may use this information to determine which users have elevated permissions, such as the users found within the local administrators group.   Commands such as  net localgroup  of the  Net  utility,  dscl . -list /Groups  on macOS, and  groups  on Linux can list local groups.",Description
T1069.001,Permission Groups Discovery: Local Groups,admin@338  actors used the following command following exploitation of a machine with  LOWBALL  malware to list local groups:  net localgroup administrator &gt;&gt; %temp%\download    [1],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,BloodHound  can collect information about local groups and members.   [2],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,"During  C0015 , the threat actors used the command  net localgroup ""adminstrator""  to identify accounts with local administrator rights.   [3]",Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Caterpillar WebShell  can obtain a list of local groups of users from a system.   [4],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Chimera  has used  net localgroup administrators  to identify  accounts with local administrative rights.   [5],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Cobalt Strike  can use  net localgroup  to list local groups on a system.   [6],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Emissary  has the capability to execute the command  net localgroup administrators .   [7],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Epic  gathers information on local group names.   [8],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Flagpro  has been used to execute the  net localgroup administrators  command on a targeted system.   [9],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,FlawedAmmyy  enumerates the privilege level of the victim during the initial infection.   [10]      [11],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Helminth  has checked the local administrators group.   [12],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,HEXANE  has run  net localgroup  to enumerate local groups.   [13],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,JPIN  can obtain the permissions of the victim user.   [14],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Kazuar  gathers information about local groups and members.   [15],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Kwampirs  collects a list of users belonging to the local users and administrators groups with the commands  net localgroup administrators  and  net localgroup users .   [16],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,Commands such as  net group  and  net localgroup  can be used in  Net  to gather information about and manipulate groups.   [17],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,OilRig  has used  net localgroup administrators  to find local administrators on compromised systems.   [18],Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,"During  Operation CuckooBees , the threat actors used the  net group  command as part of their advanced reconnaissance.   [19]",Procedure Examples
T1069.001,Permission Groups Discovery: Local Groups,"During  Operation Wocao , threat actors used the command  net localgroup administrators  to list all administrators part of a local group.   [20]",Procedure Examples
